pair_id,item,anchor,variant,label,family,chain,ambisonic_order,is_anchor,SNR_dc,SNR_ac,SNR_dc_fix,SNR_ac_fix,OPM,OPM_fix,binQ,ILDdiff,ITDdiff,IVSdiff,overall_measure,vnsim_0,vnsim_1,LS,LS_mean,lag_samples,lag_ms,polarity,gcc_corr,gcc_peak_ratio,residual_lag_samples,lufs_before,gain_db,true_peak_dbtp_after,analysed_duration_s
DeusExMachina__Atmos__42pIKO-Auro3D,DeusExMachina,Atmos,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,1.30865,4.69606,1.30865,0.604757,43.8302,63.0631,39,6531.8,9.60072e-05,0.054492,0.3042,0.2803560133770218,0.2655787957986763,0.07445661242758704,0.27296740458784907,-24476,-509.9167,1,0.7228,2.616,0,-19.594,2.594,-3.114,60.0
DeusExMachina__Atmos__42pIKO-Sony360RA,DeusExMachina,Atmos,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,3.43288,3.88867,3.43288,0.667476,40.3109,49.3015,60,4748.06,8.32712e-05,0.0300329,0.415494,0.29801452617222696,0.29256932782516026,0.08718990960434207,0.2952919269986936,17,0.3542,1,0.6847,2.352,0,-23.621,6.621,-2.078,60.0
BigBand__7OA__7OA,BigBand,7OA,7OA,7OA ref.,Ambisonics,direct,7,1,0,0,0,0,715.4,725.564,100,0,0,0,0.722634,1.0,1.0,1.0,1.0,0,0.0,1,1.0,3.367,0,-32.979,15.979,1.74,60.0
BigBand__7OA__5OA,BigBand,7OA,5OA,5OA,Ambisonics,direct,5,0,0.670004,1.14673,0.670004,0.591064,65.0496,70.591,98,182.742,3.61223e-06,0.0013654,0.571383,0.6324268845454759,0.6333000207585332,0.4005159591109044,0.6328634526520045,0,0.0,1,0.9859,3.185,0,-32.954,15.954,1.292,60.0
BigBand__7OA__3OA-IAMF,BigBand,7OA,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,1.45267,1.9312,1.45267,1.0676,54.0099,58.0893,86,1646.97,3.35122e-05,0.0124236,0.48673,0.3797626720836634,0.38067467041016084,0.14456603002953056,0.3802186712469121,27,0.5625,1,0.8095,1.408,0,-31.565,14.565,2.748,60.0
BigBand__7OA__2OA-TBE,BigBand,7OA,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,2.73764,2.95334,2.73764,1.09794,44.7826,50.5068,58,2388.41,3.9381e-05,0.0667266,0.425983,0.4321293156555957,0.435216165135591,0.18806966360229568,0.43367274039559334,3569,74.3542,1,0.8454,2.504,0,-27.286,10.286,1.928,60.0
BigBand__7OA__1OA-YT,BigBand,7OA,1OA-YT,1OA-YT,Ambisonics,direct,1,0,1.55222,2.67776,1.55222,1.01481,50.0486,57.7573,81,2128.74,4.35786e-05,0.0198136,0.484241,0.32186388300921315,0.3128490167860597,0.10069479933837568,0.31735644989763645,46,0.9583,-1,0.7546,1.517,0,-31.168,14.168,2.289,60.0
BigBand__7OA__42pIKO,BigBand,7OA,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,1.91746,0.944862,1.91746,0.869989,56.9809,56.27,94,513.688,1.34542e-05,0.006579,0.472911,0.7799604738748688,0.7445169093170007,0.5806937613987405,0.7622386915959347,0,0.0,1,0.9939,3.263,0,-31.413,14.413,0.989,60.0
BigBand__7OA__Atmos,BigBand,7OA,Atmos,Dolby Atmos,Channel/Object,direct,NA,0,1.02795,3.15658,1.02795,1.1693,50.2404,60.5657,68,4338.28,5.95564e-05,0.0206206,0.504861,0.44135076672593165,0.36896495216167713,0.1628429645315529,0.4051578594438044,130,2.7083,1,0.9104,2.361,0,-28.96,11.96,1.177,60.0
BigBand__7OA__Auro3D,BigBand,7OA,Auro3D,Auro-3D,Channel/Object,direct,NA,0,0.845799,3.1458,0.845799,1.23691,51.0782,61.5323,37,5535.9,7.1503e-05,0.0773772,0.2886,0.4218316353044645,0.39203133224466064,0.16537121797135304,0.40693148377456256,131,2.7292,1,0.9267,2.941,0,-29.498,12.498,1.649,60.0
BigBand__7OA__Sony360RA,BigBand,7OA,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,1.97914,3.22945,1.97914,1.23333,46.3548,53.7077,36,6647.45,9.2737e-05,0.0596968,0.2808,0.3633101274103596,0.3727579604336418,0.1354267420983722,0.3680340439220007,18,0.375,1,0.8649,3.015,0,-35.269,18.269,2.708,60.0
BigBand__7OA__42pIKO-Atmos,BigBand,7OA,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,2.10219,2.74635,2.10219,1.33182,47.6262,52.5035,76,2951.79,4.63995e-05,0.0207566,0.442823,0.4423993447422003,0.401718967824595,0.17772020813611386,0.42205915628339763,130,2.7083,1,0.9117,3.139,0,-27.865,10.865,2.727,60.0
BigBand__7OA__42pIKO-Auro3D,BigBand,7OA,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,1.6885,4.01996,1.6885,1.05051,44.7282,56.5865,32,6323.05,9.3735e-05,0.0757515,0.2496,0.35418366053416994,0.3273910970928196,0.11595657719463269,0.34078737881349475,-24477,-509.9375,1,0.8324,3.008,0,-31.552,14.552,2.695,60.0
BigBand__7OA__42pIKO-Sony360RA,BigBand,7OA,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,1.99758,2.32373,1.99758,1.2952,49.6695,53.2618,73,2495.8,5.4196e-05,0.0320582,0.44905,0.4453584093139274,0.44817815112054715,0.19959990847230386,0.44676828021723725,15,0.3125,1,0.8795,2.93,0,-34.098,17.098,3.057,60.0
BigBand__5OA__7OA,BigBand,5OA,7OA,7OA ref.,Ambisonics,direct,7,0,0.670004,1.15878,0.670004,0.582403,64.9323,70.7154,98,182.742,3.61223e-06,0.0013654,0.572148,0.6324268845454759,0.6333000207585332,0.4005159591109044,0.6328634526520045,0,0.0,1,1.0,3.367,0,-32.979,15.979,1.74,60.0
BigBand__5OA__5OA,BigBand,5OA,5OA,5OA,Ambisonics,direct,5,1,0,0,0,0,715.4,725.564,100,0,0,0,0.722634,1.0,1.0,1.0,1.0,0,0.0,1,0.9859,3.185,0,-32.954,15.954,1.292,60.0
BigBand__5OA__3OA-IAMF,BigBand,5OA,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,1.41398,1.7108,1.41398,1.16627,55.4237,57.6646,86,1664.41,3.41477e-05,0.0126037,0.483543,0.3933344725789364,0.3925793610166996,0.1544149959108794,0.39295691679781797,27,0.5625,1,0.8095,1.408,0,-31.565,14.565,2.748,60.0
BigBand__5OA__2OA-TBE,BigBand,5OA,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,2.51648,2.83796,2.51648,1.0781,45.8646,51.6785,58,2359.7,3.86351e-05,0.0668309,0.435943,0.42927322140337576,0.43094469649586337,0.18499301811147933,0.43010895894961954,3569,74.3542,1,0.8454,2.504,0,-27.286,10.286,1.928,60.0
BigBand__5OA__1OA-YT,BigBand,5OA,1OA-YT,1OA-YT,Ambisonics,direct,1,0,1.49978,2.5862,1.49978,1.01049,50.6634,58.1611,80,2140.8,4.4187e-05,0.0200827,0.487266,0.32199429018304176,0.3150240365556241,0.10143594104132479,0.31850916336933294,46,0.9583,-1,0.7546,1.517,0,-31.168,14.168,2.289,60.0
BigBand__5OA__42pIKO,BigBand,5OA,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,1.69946,1.25075,1.69946,0.816774,56.4441,58.1182,95,513.848,1.2289e-05,0.00618622,0.486946,0.6153341502418314,0.6138074318115656,0.37769667446589056,0.6145707910266984,0,0.0,1,0.9939,3.263,0,-31.413,14.413,0.989,60.0
BigBand__5OA__Atmos,BigBand,5OA,Atmos,Dolby Atmos,Channel/Object,direct,NA,0,1.01012,3.0642,1.01012,1.18042,50.7141,60.621,68,4325.89,6.00161e-05,0.0207926,0.505257,0.46033235389114013,0.39302938891234623,0.18092414374641672,0.42668087140174316,130,2.7083,1,0.9104,2.361,0,-28.96,11.96,1.177,60.0
BigBand__5OA__Auro3D,BigBand,5OA,Auro3D,Auro-3D,Channel/Object,direct,NA,0,0.849862,3.05943,0.849862,1.23727,51.448,61.494,37,5518.71,7.15972e-05,0.0769411,0.2886,0.42907977713727435,0.4029157988849292,0.17288302119063226,0.41599778801110177,131,2.7292,1,0.9267,2.941,0,-29.498,12.498,1.649,60.0
BigBand__5OA__Sony360RA,BigBand,5OA,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,1.71517,3.15557,1.71517,1.24532,47.5451,55.1825,36,6613.13,9.27012e-05,0.0592986,0.2808,0.3554485540026989,0.3755351240855676,0.13348341683343912,0.3654918390441333,18,0.375,1,0.8649,3.015,0,-35.269,18.269,2.708,60.0
BigBand__5OA__42pIKO-Atmos,BigBand,5OA,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,1.97281,2.6375,1.97281,1.33813,48.5204,53.1625,76,2993.27,4.69517e-05,0.0207813,0.448239,0.4694095927789724,0.42557923544248305,0.19977097560424237,0.4474944141107277,130,2.7083,1,0.9117,3.139,0,-27.865,10.865,2.727,60.0
BigBand__5OA__42pIKO-Auro3D,BigBand,5OA,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,1.63961,3.98234,1.63961,1.07141,44.9993,56.7719,32,6337.69,9.4276e-05,0.0756223,0.2496,0.36302221377400945,0.33825704309124865,0.1227948206076356,0.3506396284326291,-24477,-509.9375,1,0.8324,3.008,0,-31.552,14.552,2.695,60.0
BigBand__5OA__42pIKO-Sony360RA,BigBand,5OA,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,1.90529,2.22879,1.90529,1.32552,50.4557,53.6049,73,2489.78,5.40248e-05,0.0317316,0.451838,0.4438455866815552,0.4400901889175965,0.1953320880929271,0.44196788779957585,15,0.3125,1,0.8795,2.93,0,-34.098,17.098,3.057,60.0
BigBand__Atmos__7OA,BigBand,Atmos,7OA,7OA ref.,Ambisonics,direct,7,0,1.02795,3.07152,1.02795,1.15009,50.6049,60.7243,68,4338.28,5.95564e-05,0.0206206,0.505996,0.44135076672593165,0.36896495216167713,0.1628429645315529,0.4051578594438044,0,0.0,1,1.0,3.367,0,-32.979,15.979,1.74,60.0
BigBand__Atmos__5OA,BigBand,Atmos,5OA,5OA,Ambisonics,direct,5,0,1.01012,2.97377,1.01012,1.16265,51.1125,60.768,68,4325.89,6.00161e-05,0.0207926,0.506309,0.46033235389114013,0.39302938891234623,0.18092414374641672,0.42668087140174316,0,0.0,1,0.9859,3.185,0,-32.954,15.954,1.292,60.0
BigBand__Atmos__3OA-IAMF,BigBand,Atmos,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,0.913757,2.69882,0.913757,1.24197,52.849,60.9102,69,4204.94,5.92975e-05,0.020564,0.507324,0.3256459434009064,0.29015633439634003,0.09448823324824503,0.30790113889862325,27,0.5625,1,0.8095,1.408,0,-31.565,14.565,2.748,60.0
BigBand__Atmos__2OA-TBE,BigBand,Atmos,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,1.07689,2.396,1.07689,1.13995,53.549,60.4054,43,4633.96,6.97584e-05,0.073926,0.3354,0.3907840769463615,0.35245650478981344,0.1377343898880281,0.37162029086808746,3569,74.3542,1,0.8454,2.504,0,-27.286,10.286,1.928,60.0
BigBand__Atmos__1OA-YT,BigBand,Atmos,1OA-YT,1OA-YT,Ambisonics,direct,1,0,1.43009,2.07748,1.43009,1.17616,53.3726,57.4836,74,3452.86,5.66749e-05,0.0171348,0.482178,0.3177002482081629,0.31788462815057406,0.10099202526499694,0.3177924381793685,46,0.9583,-1,0.7546,1.517,0,-31.168,14.168,2.289,60.0
BigBand__Atmos__42pIKO,BigBand,Atmos,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,2.44572,2.84489,2.44572,1.16852,46.0774,51.5799,67,4213.15,6.41712e-05,0.0226271,0.435115,0.45221537218444813,0.38296770866391705,0.17318388490807854,0.41759154042418256,0,0.0,1,0.9939,3.263,0,-31.413,14.413,0.989,60.0
BigBand__Atmos__Atmos,BigBand,Atmos,Atmos,Dolby Atmos,Channel/Object,direct,NA,1,0,0,0,0,715.4,725.564,100,0,0,0,0.722634,1.0,1.0,1.0,1.0,130,2.7083,1,0.9104,2.361,0,-28.96,11.96,1.177,60.0
BigBand__Atmos__Auro3D,BigBand,Atmos,Auro3D,Auro-3D,Channel/Object,direct,NA,0,0.913287,2.51326,0.913287,1.24976,53.7874,60.849,42,4236.94,7.82855e-05,0.0828856,0.3276,0.4394999084359806,0.38532997308661965,0.1693524878892082,0.41241494076130014,131,2.7292,1,0.9267,2.941,0,-29.498,12.498,1.649,60.0
BigBand__Atmos__Sony360RA,BigBand,Atmos,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,1.49535,3.44501,1.49535,1.12974,47.2932,57.3535,40,5496.25,9.47768e-05,0.0663376,0.312,0.36317250139538937,0.3317717918010068,0.12049039152080197,0.3474721465981981,18,0.375,1,0.8649,3.015,0,-35.269,18.269,2.708,60.0
BigBand__Atmos__42pIKO-Atmos,BigBand,Atmos,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,0.692864,1.258,0.692864,1.08188,63.7854,64.4215,75,3378.36,4.45407e-05,0.0171052,0.531665,0.8124400355127235,0.7243452342817305,0.5884870678633212,0.768392634897227,130,2.7083,1,0.9117,3.139,0,-27.865,10.865,2.727,60.0
BigBand__Atmos__42pIKO-Auro3D,BigBand,Atmos,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,1.99646,3.84613,1.99646,1.07158,44.316,54.5382,28,6605.45,0.000111488,0.0797244,0.2184,0.36110900231413223,0.3297883902782726,0.11908955658817069,0.34544869629620245,-24477,-509.9375,1,0.8324,3.008,0,-31.552,14.552,2.695,60.0
