pair_id,item,anchor,variant,segment,is_anchor,overall_measure,binQ,ILDdiff,ITDdiff,LS,LS_mean,vnsim_0,vnsim_1
KWARTET__7OA__2OA-TBE__seg0,KWARTET,7OA,2OA-TBE,0,0,0.496623,65,3310.33,6.86268e-05,0.18437272629799328,0.4293905688693923,0.42751058589419133,0.43127055184459323
KWARTET__7OA__42pIKO__seg0,KWARTET,7OA,42pIKO,0,0,0.498638,92,859.486,2.32263e-05,0.6058623764702389,0.7789243339234473,0.7495859374463545,0.8082627304005401
KWARTET__7OA__Auro3D__seg0,KWARTET,7OA,Auro3D,0,0,0.2418,31,7010.95,0.000134845,0.16859813644287816,0.41137974885677087,0.3861773416982932,0.43658215601524847
KWARTET__7OA__42pIKO-Atmos__seg0,KWARTET,7OA,42pIKO-Atmos,0,0,0.4602,59,5447.02,7.68025e-05,0.18681466007880224,0.4331708901749124,0.4044940699864081,0.46184771036341676
KWARTET__7OA__42pIKO-Sony360RA__seg0,KWARTET,7OA,42pIKO-Sony360RA,0,0,0.42066,61,4165.66,7.83103e-05,0.17451719905619983,0.4183902931742055,0.3952983385969543,0.4414822477514568
DeusExMachina__7OA__5OA__seg1,DeusExMachina,7OA,5OA,1,0,0.596711,99,175.609,8.03595e-06,0.5102626253656323,0.7143272238063585,0.715197456687281,0.7134569909254359
DeusExMachina__7OA__2OA-TBE__seg1,DeusExMachina,7OA,2OA-TBE,1,0,0.357901,74,2533.48,8.03006e-05,0.1574871815745642,0.39690936566796253,0.4039707380827424,0.3898479932531827
DeusExMachina__7OA__42pIKO__seg1,DeusExMachina,7OA,42pIKO,1,0,0.539249,94,562.098,4.09541e-05,0.6307528928137724,0.7942058000509213,0.7973617501062391,0.7910498499956037
DeusExMachina__7OA__Auro3D__seg1,DeusExMachina,7OA,Auro3D,1,0,0.429,55,4846.91,0.000110026,0.11331483172937573,0.33664922453275625,0.3324220920377425,0.34087635702777
DeusExMachina__7OA__42pIKO-Atmos__seg1,DeusExMachina,7OA,42pIKO-Atmos,1,0,0.470173,74,2782.9,9.92012e-05,0.15601817936119436,0.39500500411402395,0.39828736818976107,0.3917226400382868
DeusExMachina__7OA__42pIKO-Sony360RA__seg1,DeusExMachina,7OA,42pIKO-Sony360RA,1,0,0.226789,62,3868.41,0.000101766,0.11208390939226817,0.33485268513429334,0.34136508479786143,0.3283402854707253
BigBand__7OA__5OA__seg1,BigBand,7OA,5OA,1,0,0.572011,98,208.325,3.74632e-06,0.4034670600602779,0.6351936439192842,0.6332174821899127,0.6371698056486559
BigBand__7OA__2OA-TBE__seg1,BigBand,7OA,2OA-TBE,1,0,0.3822,49,2821.07,3.87145e-05,0.18742874969020498,0.43293525629456153,0.43088917403015686,0.4349813385589662
BigBand__7OA__42pIKO__seg1,BigBand,7OA,42pIKO,1,0,0.491231,94,607.932,1.13132e-05,0.5898263087692885,0.7680016607022069,0.7684936688922726,0.7675096525121411
BigBand__7OA__Auro3D__seg1,BigBand,7OA,Auro3D,1,0,0.1794,23,7362.65,6.6249e-05,0.15734895580665767,0.3966748180026777,0.3980731851932833,0.395276450812072
BigBand__7OA__42pIKO-Atmos__seg1,BigBand,7OA,42pIKO-Atmos,1,0,0.465957,77,2876.23,3.89212e-05,0.1749510701357535,0.4183425298425968,0.4260498081787187,0.41063525150647484
BigBand__7OA__42pIKO-Sony360RA__seg1,BigBand,7OA,42pIKO-Sony360RA,1,0,0.460796,73,2633.59,4.10338e-05,0.19822629104782755,0.4454477677724832,0.4313970465931086,0.4594984889518577
KWARTET__7OA__5OA__seg1,KWARTET,7OA,5OA,1,0,0.492325,98,217.391,7.7385e-06,0.49394282909323023,0.7028400452544403,0.7092665621985959,0.6964135283102848
KWARTET__7OA__2OA-TBE__seg1,KWARTET,7OA,2OA-TBE,1,0,0.458694,68,2844.01,6.89696e-05,0.1816213228104431,0.42617092650433885,0.4267503979216339,0.42559145508704377
KWARTET__7OA__42pIKO__seg1,KWARTET,7OA,42pIKO,1,0,0.48128,95,485.365,2.55681e-05,0.6225231968353279,0.7890021854997751,0.7878833074485537,0.7901210635509963
KWARTET__7OA__Auro3D__seg1,KWARTET,7OA,Auro3D,1,0,0.273,35,4880.25,0.000139006,0.15008458517109227,0.3874531264411659,0.38150837935303666,0.3933978735292951
KWARTET__7OA__42pIKO-Atmos__seg1,KWARTET,7OA,42pIKO-Atmos,1,0,0.436137,67,4346.95,8.00198e-05,0.1557535483868072,0.3946916260747002,0.3894066183468167,0.3999766338025837
KWARTET__7OA__42pIKO-Sony360RA__seg1,KWARTET,7OA,42pIKO-Sony360RA,1,0,0.356463,59,3527.18,0.000102894,0.15526568891108203,0.3943049579220108,0.37978907245826254,0.408820843385759
DeusExMachina__7OA__5OA__seg2,DeusExMachina,7OA,5OA,2,0,0.567322,98,186.724,6.01153e-06,0.5097076298707122,0.7139395852316734,0.7153892369352817,0.7124899335280653
DeusExMachina__7OA__2OA-TBE__seg2,DeusExMachina,7OA,2OA-TBE,2,0,0.36588,70,2993.3,8.13003e-05,0.15699194006703515,0.39630916629002066,0.40461670614584583,0.38800162643419556
DeusExMachina__7OA__42pIKO__seg2,DeusExMachina,7OA,42pIKO,2,0,0.531166,94,632.415,3.87764e-05,0.6349756097020479,0.7968705675224993,0.80207553453317,0.7916656005118285
DeusExMachina__7OA__Auro3D__seg2,DeusExMachina,7OA,Auro3D,2,0,0.4758,61,4439.4,9.60475e-05,0.11537892650142563,0.3397088912126657,0.33489181040442934,0.34452597202090196
DeusExMachina__7OA__42pIKO-Atmos__seg2,DeusExMachina,7OA,42pIKO-Atmos,2,0,0.473895,72,3068.47,0.000100342,0.15830474797880684,0.3978756556035853,0.3973377493143497,0.39841356189282096
DeusExMachina__7OA__42pIKO-Sony360RA__seg2,DeusExMachina,7OA,42pIKO-Sony360RA,2,0,0.231223,64,3857.18,9.02603e-05,0.11165172692805726,0.33424570442247276,0.34252000178344294,0.32597140706150257
BigBand__7OA__5OA__seg2,BigBand,7OA,5OA,2,0,0.571383,98,182.742,3.61223e-06,0.4005159591109044,0.6328634526520045,0.6324268845454759,0.6333000207585332
BigBand__7OA__2OA-TBE__seg2,BigBand,7OA,2OA-TBE,2,0,0.425983,58,2388.41,3.9381e-05,0.18806966360229568,0.43367274039559334,0.4321293156555957,0.435216165135591
BigBand__7OA__42pIKO__seg2,BigBand,7OA,42pIKO,2,0,0.472911,94,513.688,1.34542e-05,0.5806937613987405,0.7622386915959347,0.7799604738748688,0.7445169093170007
BigBand__7OA__Auro3D__seg2,BigBand,7OA,Auro3D,2,0,0.2886,37,5535.9,7.1503e-05,0.16537121797135304,0.40693148377456256,0.4218316353044645,0.39203133224466064
BigBand__7OA__42pIKO-Atmos__seg2,BigBand,7OA,42pIKO-Atmos,2,0,0.442823,76,2951.79,4.63995e-05,0.17772020813611386,0.42205915628339763,0.4423993447422003,0.401718967824595
BigBand__7OA__42pIKO-Sony360RA__seg2,BigBand,7OA,42pIKO-Sony360RA,2,0,0.44905,73,2495.8,5.4196e-05,0.19959990847230386,0.44676828021723725,0.4453584093139274,0.44817815112054715
KWARTET__7OA__5OA__seg2,KWARTET,7OA,5OA,2,0,0.533674,97,367.445,6.2215e-06,0.48283981342195836,0.6948734985344166,0.6979338160835412,0.691813180985292
KWARTET__7OA__2OA-TBE__seg2,KWARTET,7OA,2OA-TBE,2,0,0.468,60,3161.13,6.26528e-05,0.1811147069502942,0.425577888100559,0.4269313613502936,0.42422441485082446
KWARTET__7OA__42pIKO__seg2,KWARTET,7OA,42pIKO,2,0,0.492279,92,791.539,2.0589e-05,0.6130517145828238,0.7831248847305443,0.7678647896651657,0.7983849797959228
KWARTET__7OA__Auro3D__seg2,KWARTET,7OA,Auro3D,2,0,0.234,30,6026.65,0.000123633,0.15673737524258063,0.3960739456280229,0.3843609117439527,0.40778697951209303
KWARTET__7OA__42pIKO-Atmos__seg2,KWARTET,7OA,42pIKO-Atmos,2,0,0.458978,65,4648.56,6.40328e-05,0.16664154342900417,0.40859019532475604,0.39114300969159044,0.4260373809579217
